time,E-BGM,E-BMR,E-BRK,E-BSL,E-BVW,E-BWK,E-CST,E-DIM,E-DOD,E-DTC,E-EEM,E-EHV,E-ENS,E-GER,E-HGL,E-KIJ,E-LLS,E-LSM,E-MBT,E-MEE,E-MVL,E-OHK,E-OZN,E-RIL,E-SMH,E-TIL,E-VHZ,E-VVL,E-WES,E-WEW,E-WTR,E-ZWO,E-ZYV
2040-01-01 16:00:00,-0.163,-0.176,-0.013,-0.82,-0.081,-0.0,-0.0,-0.081,-0.272,-0.272,-0.309,-0.176,-0.001,-1.231,-0.081,-0.208,-0.001,-0.163,-0.31,-0.0,-0.624,-0.163,-0.081,-0.82,-0.624,-0.176,-0.027,-0.0,-0.624,-0.309,-0.208,-0.081,-0.209
2040-01-01 17:00:00,-0.163,-0.175,-0.013,-0.817,-0.081,-0.0,-0.0,-0.081,-0.272,-0.272,-0.308,-0.175,-0.001,-1.228,-0.081,-0.207,-0.001,-0.163,-0.31,-0.0,-0.622,-0.163,-0.081,-0.817,-0.622,-0.175,-0.027,-0.0,-0.622,-0.308,-0.207,-0.081,-0.208
2040-01-01 18:00:00,-0.164,-0.177,-0.013,-0.825,-0.082,-0.0,-0.0,-0.082,-0.273,-0.273,-0.31,-0.177,-0.001,-1.239,-0.081,-0.209,-0.001,-0.164,-0.313,-0.0,-0.628,-0.164,-0.082,-0.825,-0.628,-0.177,-0.027,-0.0,-0.628,-0.31,-0.209,-0.081,-0.211
2040-01-01 19:00:00,-0.163,-0.175,-0.013,-0.819,-0.081,-0.0,-0.0,-0.081,-0.272,-0.272,-0.309,-0.175,-0.001,-1.23,-0.081,-0.208,-0.001,-0.163,-0.31,-0.0,-0.623,-0.163,-0.081,-0.819,-0.623,-0.175,-0.027,-0.0,-0.623,-0.309,-0.208,-0.081,-0.209
2040-01-01 20:00:00,-0.162,-0.174,-0.013,-0.815,-0.081,-0.0,-0.0,-0.081,-0.27,-0.27,-0.307,-0.174,-0.001,-1.223,-0.081,-0.207,-0.001,-0.162,-0.309,-0.0,-0.62,-0.162,-0.081,-0.815,-0.62,-0.174,-0.027,-0.0,-0.62,-0.307,-0.207,-0.081,-0.208
2040-01-01 21:00:00,-0.162,-0.174,-0.013,-0.814,-0.081,-0.0,-0.0,-0.081,-0.27,-0.27,-0.307,-0.174,-0.001,-1.222,-0.08,-0.206,-0.001,-0.162,-0.308,-0.0,-0.619,-0.162,-0.081,-0.814,-0.619,-0.174,-0.027,-0.0,-0.619,-0.307,-0.206,-0.08,-0.208
2040-01-01 22:00:00,-0.158,-0.17,-0.013,-0.793,-0.079,-0.0,-0.0,-0.079,-0.264,-0.264,-0.299,-0.17,-0.001,-1.191,-0.078,-0.201,-0.001,-0.158,-0.301,-0.0,-0.603,-0.158,-0.079,-0.793,-0.603,-0.17,-0.026,-0.0,-0.603,-0.299,-0.201,-0.078,-0.203
2040-01-01 23:00:00,-0.155,-0.166,-0.012,-0.779,-0.078,-0.0,-0.0,-0.078,-0.259,-0.259,-0.294,-0.166,-0.001,-1.17,-0.077,-0.197,-0.001,-0.155,-0.295,-0.0,-0.593,-0.155,-0.078,-0.779,-0.593,-0.166,-0.026,-0.0,-0.593,-0.294,-0.197,-0.077,-0.198
2040-01-02 00:00:00,-0.152,-0.163,-0.012,-0.763,-0.076,-0.0,-0.0,-0.076,-0.254,-0.254,-0.288,-0.163,-0.001,-1.147,-0.075,-0.194,-0.001,-0.152,-0.289,-0.0,-0.581,-0.152,-0.076,-0.763,-0.581,-0.163,-0.025,-0.0,-0.581,-0.288,-0.194,-0.075,-0.195
2040-01-02 01:00:00,-0.152,-0.165,-0.012,-0.768,-0.077,-0.0,-0.0,-0.077,-0.255,-0.255,-0.29,-0.165,-0.001,-1.154,-0.076,-0.195,-0.001,-0.152,-0.291,-0.0,-0.585,-0.152,-0.077,-0.768,-0.585,-0.165,-0.025,-0.0,-0.585,-0.29,-0.195,-0.076,-0.196
2040-01-02 02:00:00,-0.152,-0.165,-0.012,-0.769,-0.077,-0.0,-0.0,-0.077,-0.256,-0.256,-0.29,-0.165,-0.001,-1.155,-0.076,-0.195,-0.001,-0.152,-0.292,-0.0,-0.586,-0.152,-0.077,-0.769,-0.586,-0.165,-0.025,-0.0,-0.586,-0.29,-0.195,-0.076,-0.196
2040-01-02 03:00:00,-0.152,-0.164,-0.012,-0.766,-0.077,-0.0,-0.0,-0.077,-0.255,-0.255,-0.289,-0.164,-0.001,-1.15,-0.076,-0.194,-0.001,-0.152,-0.29,-0.0,-0.583,-0.152,-0.077,-0.766,-0.583,-0.164,-0.025,-0.0,-0.583,-0.289,-0.194,-0.076,-0.196
