time,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-01 00:00:00,-0.3343712347168251,-0.3803402189937112,-0.2924980950758701,-0.6675164042930093,-1.166044701253969,-0.2677978721712626,-0.7566518521783158,-1.603938392532834,-2.068001253958098,-0.1890618259414858,-1.4084614250606429,-0.5859835971170722
2050-01-01 01:00:00,-0.3270260283278618,-0.3719852018257473,-0.286072725146754,-0.652852924757447,-1.1404299410706624,-0.2619150974664079,-0.7400303146721126,-1.5687043254088686,-2.02257301598236,-0.1849086632659029,-1.3775214434359515,-0.5731111666730562
2050-01-01 02:00:00,-0.3182080154245342,-0.3619548983470963,-0.2783589875139037,-0.6352492326479164,-1.1096790984324727,-0.254852752243172,-0.7200759492749645,-1.5264053834754363,-1.9680358433785512,-0.1799227390966466,-1.340377605298852,-0.5576576515855735
2050-01-01 03:00:00,-0.3127135939575781,-0.3557051099472191,-0.2735526296524398,-0.6242805365386386,-1.0905185356423572,-0.2504522709071832,-0.7076425705988907,-1.5000493078905528,-1.9340542405858885,-0.1768160563225899,-1.3172336267332718,-0.5480287106929431
2050-01-01 04:00:00,-0.3108185675058557,-0.3535495573732743,-0.2718949163993348,-0.6204974322767989,-1.0839100558350605,-0.2489345445037463,-0.7033542971897353,-1.4909590950815566,-1.92233398276597,-0.1757445611580209,-1.3092512664713882,-0.5447076881242621
2050-01-01 05:00:00,-0.3140976606918368,-0.3572794566318426,-0.2747633704135923,-0.6270435949414835,-1.095345158013241,-0.2515607697488715,-0.7107745883961218,-1.506688508702145,-1.942614342188027,-0.1775986421339126,-1.3230636874637172,-0.5504542794003644
2050-01-01 06:00:00,-0.3223668903648688,-0.3666855307739973,-0.2819970486609305,-0.6435517328567861,-1.1241822421956078,-0.2581835945645553,-0.7294871069938609,-1.546355003819407,-1.9937574297433311,-0.1822742705935107,-1.357895903277066,-0.5649460551456502
2050-01-01 07:00:00,-0.332694677559808,-0.3784331706293523,-0.2910314923188217,-0.6641694375421416,-1.1601980841221309,-0.2664551177934737,-0.7528579550172331,-1.595896150520919,-2.057632173298453,-0.1881138587586348,-1.4013993161308247,-0.5830454406860224
2050-01-01 08:00:00,-0.344004079043648,-0.3912973760108179,-0.3009246232075266,-0.6867467714434631,-1.1996370857627876,-0.2755128157604288,-0.7784501073655736,-1.6501459823040296,-2.1275779521867104,-0.1945084760966092,-1.4490375519497705,-0.6028650994205846
2050-01-01 09:00:00,-0.3451640286283442,-0.3926167941702139,-0.301939312895756,-0.6890624173350521,-1.2036821498308798,-0.2764418192103537,-0.7810749683301752,-1.65571012024153,-2.1347519460791915,-0.1951643404883786,-1.4539235710669454,-0.6048979041583796
