time,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-01 00:00:00,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075,-1.349998075
2050-01-01 01:00:00,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334,-1.3349372583333334
2050-01-01 02:00:00,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001,-1.3068912000000001
2050-01-01 03:00:00,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665,-1.2892942166666665
2050-01-01 04:00:00,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668,-1.3171736166666668
2050-01-01 05:00:00,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925,-1.409352925
2050-01-01 06:00:00,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333,-1.5821176083333333
2050-01-01 07:00:00,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665,-1.8655751916666665
2050-01-01 08:00:00,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333,-2.0760957833333333
2050-01-01 09:00:00,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175,-2.291199175
2050-01-01 10:00:00,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333,-2.337116808333333
2050-01-01 11:00:00,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666,-2.2398579416666666
2050-01-01 12:00:00,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025,-2.196976025
2050-01-01 13:00:00,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333,-2.083849483333333
2050-01-01 14:00:00,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333,-2.128173858333333
2050-01-01 15:00:00,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334,-2.1794705083333334
2050-01-01 16:00:00,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667,-2.2705020166666667
2050-01-01 17:00:00,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832,-2.3741832
2050-01-01 18:00:00,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905,-2.32048905
2050-01-01 19:00:00,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667,-2.1806706916666667
2050-01-01 20:00:00,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666,-2.0628628416666666
2050-01-01 21:00:00,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925,-1.982294925
2050-01-01 22:00:00,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002,-1.8270122750000002
2050-01-01 23:00:00,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665,-1.6452362166666665
2050-01-02 00:00:00,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975,-1.552618975
2050-01-02 01:00:00,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515,-1.54199515
2050-01-02 02:00:00,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332,-1.5754440833333332
