time,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-01 00:00:00,-0.8100971219787574,-0.9214683704491275,-0.7086490714606561,-1.6172237975235295,-2.82503205571615,-0.6488066645496604,-1.8331764941103832,-3.8859379656939774,-5.0102451710557325,-0.4580490938490997,-3.412346602799181,-1.4196903808227417
2050-01-01 01:00:00,-0.8092289567092088,-0.92048085078697,-0.7078896260862088,-1.615490650353882,-2.8220045240170584,-0.6481113511143555,-1.8312119146519947,-3.8817734818439487,-5.0048757891243305,-0.4575582115780251,-3.408689657566521,-1.4181689263591926
2050-01-01 02:00:00,-0.7934904350027199,-0.9025786146764004,-0.6941220314474028,-1.584071316608561,-2.7671199587913327,-0.635506371419591,-1.795597063961119,-3.806277695766155,-4.9075370253636565,-0.4486592593282346,-3.342394778074742,-1.390587260817048
2050-01-01 03:00:00,-0.7894043621772684,-0.8979307931179084,-0.6905476554434443,-1.5759141536802528,-2.752870696078616,-0.6322338363011936,-1.7863506508414866,-3.786677298366609,-4.882265701608928,-0.4463488919607666,-3.325183142153037,-1.3834264425296492
2050-01-01 04:00:00,-0.7483767023951708,-0.8512626964452454,-0.6546578686265623,-1.494009273442884,-2.609795932681936,-0.599374789681597,-1.693508768701247,-3.589872574012818,-4.628520034915444,-0.4231508310418047,-3.15236362251782,-1.3115257131479203
2050-01-01 05:00:00,-0.7104049083688877,-0.808070582542949,-0.6214412630513035,-1.418204919535332,-2.477377815857527,-0.5689631854914942,-1.6075820342892602,-3.407726468281912,-4.393674122623094,-0.4016806327486922,-2.99241622999866,-1.244980370300609
2050-01-01 06:00:00,-0.7995948354720092,-0.9095222413112726,-0.6994619809510123,-1.596257734064822,-2.788407686569637,-0.6403953848478584,-1.8094107699320807,-3.835559766888035,-4.945291193529001,-0.4521108394259643,-3.3681081519880136,-1.401285186277851
2050-01-01 07:00:00,-0.7706235040024922,-0.8765679635158536,-0.6741187145847476,-1.5384213025712734,-2.687376664637047,-0.6171922497813043,-1.7438512679759794,-3.696587792022713,-4.766110858657982,-0.4357297268813352,-3.246073124537111,-1.3505131004488895
2050-01-01 08:00:00,-0.7825060891456117,-0.8900841532065515,-0.6845132496346383,-1.5621429020538304,-2.728814515758025,-0.626709010455757,-1.7707404830869096,-3.7535871165301886,-4.839601633057417,-0.4424484365393771,-3.2961257638386225,-1.3713372601320986
2050-01-01 09:00:00,-0.831297393743311,-0.9455832319218416,-0.7271944439759512,-1.6595466043591542,-2.89896324951976,-0.6657859590538905,-1.8811507910349328,-3.9876331065576793,-5.141363473234086,-0.4700362556444518,-3.501647840109454,-1.4568437308080462
2050-01-01 10:00:00,-0.750158872844311,-0.8532898776992912,-0.6562168587768828,-1.497567079517485,-2.616010852487197,-0.6008021297293449,-1.6975416591871206,-3.5984214302200046,-4.639542306991898,-0.424158514611053,-3.1598706029930463,-1.3146489562443169
2050-01-01 11:00:00,-0.8066553356428208,-0.9175534111678716,-0.7056382982768558,-1.6103528451186229,-2.8130295976600137,-0.6460501383849246,-1.825388043025188,-3.869428132700184,-4.988958595777807,-0.4561030221132229,-3.397848874573328,-1.4136586707704442
2050-01-01 12:00:00,-0.8119980424979393,-0.9236306274003502,-0.7103119406701509,-1.621018668308051,-2.83166108976202,-0.6503291115108494,-1.8374781052609384,-3.895056451632074,-5.0220018821875145,-0.459123921666243,-3.420353790455863,-1.4230217327095365
2050-01-01 13:00:00,-0.7661057201725394,-0.8714290798056394,-0.6701666905257854,-1.5294023006224449,-2.671621906603544,-0.6135739573835874,-1.7336279319118888,-3.6749165291218775,-4.738169511869087,-0.4331752593571681,-3.2270430059426083,-1.3425957111976423
2050-01-01 14:00:00,-0.52497547480115,-0.5971485173396996,-0.4592330631279632,-1.0480259809970005,-1.830734247216526,-0.4204527797162573,-1.187972002713943,-2.518243891059651,-3.246840120997398,-0.2968342116045355,-2.2113376648159058,-0.920016392506808
2050-01-01 15:00:00,-0.8020316958758927,-0.9122941185645748,-0.7015936745660608,-1.601122519446082,-2.7969056907835763,-0.6423470659830226,-1.8149251645529585,-3.847249091666052,-4.960362556875252,-0.4534887010052144,-3.378372862348144,-1.4055557696201926
2050-01-01 16:00:00,-0.8315839472438333,-0.945909180477896,-0.7274451125273625,-1.6601186606320817,-2.899962540595719,-0.6660154597098547,-1.8817992356809023,-3.989007669059718,-5.143135733933807,-0.4701982801322477,-3.5028548803982025,-1.4573459141108194
2050-01-01 17:00:00,-0.8127975899912862,-0.9245400957909936,-0.711011361237607,-1.6226148315314584,-2.834449332353543,-0.6509694689793962,-1.8392874088999247,-3.898891784304511,-5.0269468805820114,-0.459576005737252,-3.423721699190108,-1.4244229349290218
2050-01-01 18:00:00,-0.8203603791986208,-0.9331426088204324,-0.7176270661994264,-1.6377126788758372,-2.8608228638248785,-0.657026505731135,-1.85640131663846,-3.935169569905746,-5.073720813086805,-0.4638521951587498,-3.455578198070512,-1.4376766779661745
2050-01-01 19:00:00,-0.7646627249915741,-0.8697877032572052,-0.6689044008973327,-1.5265216014037284,-2.6665897844889583,-0.6124182627576931,-1.7303625643712677,-3.667994655674988,-4.729244952774705,-0.4323593539340563,-3.220964722771333,-1.3400668707383827
2050-01-01 20:00:00,-0.7004403965638011,-0.7967361607727219,-0.6127246019909786,-1.398312433579416,-2.44262881539179,-0.5609826094682978,-1.5850332456060563,-3.359927909711045,-4.33204614518822,-0.3960464495388816,-2.9504430306326563,-1.2275176227170577
2050-01-01 21:00:00,-0.4742029600576221,-0.5393958539182517,-0.4148187645796135,-0.9466671230581116,-1.653676487340238,-0.3797890802068908,-1.073078395454407,-2.274694275460837,-2.932824998718286,-0.268126166927242,-1.99747019942181,-0.8310378628516227
2050-01-01 22:00:00,-0.7019793058394778,-0.7984866375785933,-0.6140707944408503,-1.4013846092918485,-2.4479954164037854,-0.5622151216783864,-1.5885156580652544,-3.367309871475709,-4.341563908624188,-0.3969165871805485,-2.9569253297254434,-1.2302145520559755
