time,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-01 00:00:00,-0.700510741964595,-0.7968161771807296,-0.6127861380730133,-1.3984528664400249,-2.442874129202719,-0.5610389490893349,-1.585192430883606,-3.360265348094964,-4.3324812136449165,-0.3960862245809302,-2.950739344349752,-1.227640902612928
2050-01-01 01:00:00,-0.7183382487927102,-0.8170945897566786,-0.628381115289256,-1.4340425105835788,-2.505043561603498,-0.5753169966574252,-1.625534465905365,-3.4457817432746243,-4.442739820389936,-0.406166341059138,-3.0258335901022924,-1.2588835021374214
2050-01-01 02:00:00,-0.7478183064379311,-0.8506275328348303,-0.654169400311012,-1.492894529042505,-2.6078486519964663,-0.5989275704424646,-1.6922451691704672,-3.5871940161075297,-4.625066497589618,-0.4228351000568607,-3.150011508806997,-1.3105471275590137
2050-01-01 03:00:00,-0.7869445752959946,-0.8951328374806843,-0.6883959064221074,-1.5710035994105187,-2.744292740915839,-0.6302637933536961,-1.7807843756765314,-3.774877998048013,-4.867052543816655,-0.4449580671800573,-3.314821859313984,-1.3791156806722458
2050-01-01 04:00:00,-0.6987391673537867,-0.7948010484690475,-0.6112364168495802,-1.3949162131894992,-2.436696160007616,-0.5596200952469317,-1.5811835178212268,-3.35176731884338,-4.3215244741402925,-0.3950845321626375,-2.9432769963907432,-1.2245362286600927
2050-01-01 05:00:00,-0.7354243835054451,-0.8365297072060047,-0.6433275620430179,-1.4681521289434531,-2.564627624998092,-0.5890012794085326,-1.664198842905103,-3.527741866037436,-4.548413228693604,-0.4158272672743,-3.097804977433673,-1.2888268514457866
2050-01-01 06:00:00,-0.7810181439594658,-0.888391646976377,-0.6832116390672893,-1.55917246764645,-2.7236256405800185,-0.6255173153773966,-1.767373397751382,-3.7464496233422215,-4.8303990695851855,-0.4416071152635448,-3.289858139175676,-1.3687296450565098
2050-01-01 07:00:00,-0.7710919251192038,-0.8771007826450536,-0.6745284755632824,-1.539356427208376,-2.689010178242245,-0.6175674081840349,-1.7449112625830496,-3.698834751494581,-4.769007924422508,-0.4359945838499977,-3.2480462400598347,-1.3513340056657173
2050-01-01 08:00:00,-0.7724105039377492,-0.8786006382083791,-0.675681929427095,-1.5419887499094536,-2.6936084261921707,-0.6186234577637651,-1.7478950871519912,-3.7051598146909903,-4.7771629998807885,-0.4367401411623457,-3.2536004481046623,-1.353644807190938
2050-01-01 09:00:00,-0.8197577896124273,-0.9324571758902632,-0.7170999386005961,-1.6365097092657837,-2.858721467768466,-0.6565438918211439,-1.855037710923744,-3.932279020504704,-5.069993949378191,-0.4635114759950468,-3.4530399289277867,-1.4366206433057704
