timesteps,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-02 04:00:00,-1.147050194,-1.045797814,-0.85139523,-2.131085732,-0.383789191,-3.48797876,-1.598162249,-4.073891022,-5.032368313,-0.708634194,-4.052015643,-1.776713258
2050-01-02 05:00:00,-1.039367766,-0.947620727,-0.771468209,-1.931024316,-0.347759946,-3.160535355,-1.448130462,-3.691443524,-4.559941177,-0.64210925,-3.671621755,-1.609919513
2050-01-02 06:00:00,-1.118239906,-1.019530667,-0.830010864,-2.077559571,-0.374149615,-3.40037172,-1.558021448,-3.971567711,-4.905971072,-0.690835536,-3.950241773,-1.732087818
2050-01-02 07:00:00,-1.167210814,-1.064178817,-0.866359402,-2.168541818,-0.390534691,-3.549283676,-1.626251641,-4.145493965,-5.120817509,-0.72108919,-4.123234104,-1.807940873
2050-01-02 08:00:00,-1.390998217,-1.268212065,-1.03246506,-2.584312761,-0.465411263,-4.229781977,-1.938050184,-4.940302681,-6.102623397,-0.85934243,-4.913774972,-2.154574392
2050-01-02 09:00:00,-1.454558383,-1.32616165,-1.079642439,-2.702400151,-0.48667773,-4.423057311,-2.026607301,-5.166044493,-6.381476204,-0.898609157,-5.13830463,-2.25302535
2050-01-02 10:00:00,-1.434841632,-1.308185336,-1.065007728,-2.665768722,-0.480080742,-4.363102124,-1.999136343,-5.096018007,-6.294974363,-0.886428379,-5.068654161,-2.222485263
2050-01-02 11:00:00,-1.464163014,-1.334918461,-1.086771453,-2.720244436,-0.489891324,-4.452263311,-2.039989242,-5.20015653,-6.423613888,-0.904542786,-5.172233497,-2.267902358
2050-01-02 12:00:00,-1.45297947,-1.324722111,-1.078470495,-2.699466715,-0.486149445,-4.418256115,-2.024407434,-5.16043679,-6.374549158,-0.897633724,-5.132727038,-2.250579707
2050-01-02 13:00:00,-1.43848332,-1.311505565,-1.067710763,-2.672534555,-0.481299207,-4.37417586,-2.004210235,-5.108951913,-6.310951271,-0.888678171,-5.081518617,-2.228126023
2050-01-02 14:00:00,-1.494377352,-1.362465721,-1.109197973,-2.77637916,-0.500000678,-4.544139824,-2.08208628,-5.307466502,-6.556171017,-0.923208851,-5.278967251,-2.314702591
2050-01-02 15:00:00,-1.49109668,-1.35947464,-1.106762902,-2.770284053,-0.498903004,-4.534163873,-2.077515384,-5.295814786,-6.541777966,-0.92118209,-5.267378101,-2.309621022
2050-01-02 16:00:00,-1.461916471,-1.332870226,-1.085103962,-2.716070622,-0.489139658,-4.445431969,-2.036859179,-5.192177656,-6.413757798,-0.903154898,-5.164297466,-2.264422595
2050-01-02 17:00:00,-1.496165653,-1.364096165,-1.110525335,-2.779701615,-0.500599022,-4.549577733,-2.084577884,-5.313817873,-6.564016697,-0.924313642,-5.285284518,-2.317472563
2050-01-02 18:00:00,-1.552217954,-1.415200619,-1.152130019,-2.883840265,-0.519353447,-4.720022963,-2.162674441,-5.512894571,-6.809930802,-0.958942098,-5.483292243,-2.404294279
2050-01-02 19:00:00,-1.569570376,-1.431021309,-1.165009813,-2.916079046,-0.525159359,-4.772788641,-2.186851227,-5.574523852,-6.886059799,-0.969662222,-5.544590596,-2.43117216
2050-01-02 20:00:00,-1.499738053,-1.367353222,-1.11317694,-2.786338718,-0.501794304,-4.560440775,-2.089555237,-5.326505694,-6.579689621,-0.926520629,-5.297904209,-2.323006
2050-01-02 21:00:00,-1.382472715,-1.260439126,-1.026137026,-2.56847337,-0.462558733,-4.203857417,-1.926171771,-4.910023302,-6.065220092,-0.854075474,-4.883658183,-2.141368891
2050-01-02 22:00:00,-1.260926638,-1.14962216,-0.935919745,-2.342654908,-0.421890878,-3.834257083,-1.756824037,-4.478337335,-5.531969996,-0.77898573,-4.45429022,-1.953101169
2050-01-02 23:00:00,-1.333559249,-1.215843348,-0.989831124,-2.477597844,-0.446192876,-4.055120133,-1.858021611,-4.736301061,-5.850625668,-0.823857307,-4.71086877,-2.06560481
2050-01-03 00:00:00,-1.294346701,-1.180092169,-0.960725706,-2.404745496,-0.433072829,-3.935881645,-1.803387548,-4.597032836,-5.678591365,-0.799632254,-4.572348368,-2.004866882
2050-01-03 01:00:00,-1.260883695,-1.149583008,-0.93588787,-2.342575125,-0.42187651,-3.834126501,-1.756764205,-4.478184817,-5.531781595,-0.7789592,-4.454138521,-1.953034653
2050-01-03 02:00:00,-1.226565512,-1.118294159,-0.910415283,-2.278815937,-0.410394059,-3.729770918,-1.708949363,-4.356299536,-5.381219976,-0.757757828,-4.332907722,-1.899877808
2050-01-03 03:00:00,-1.213026725,-1.105950467,-0.90036615,-2.253662446,-0.405864144,-3.688601836,-1.690086039,-4.308214853,-5.321822257,-0.749393724,-4.285081237,-1.878907022
2050-01-03 04:00:00,-1.213454895,-1.106340842,-0.900683959,-2.254457936,-0.406007404,-3.689903827,-1.6906826,-4.309735553,-5.323700737,-0.749658242,-4.286593771,-1.879570233
2050-01-03 05:00:00,-1.137631713,-1.037210721,-0.844404385,-2.11358729,-0.38063788,-3.459338808,-1.585039667,-4.040440117,-4.991047308,-0.702815567,-4.018744358,-1.762124585
2050-01-03 06:00:00,-1.21588229,-1.108553966,-0.902485687,-2.258967754,-0.406819581,-3.69728511,-1.694064642,-4.318356747,-5.334350267,-0.751157858,-4.295168673,-1.883330125
2050-01-03 07:00:00,-1.245162216,-1.135249296,-0.924218641,-2.313366449,-0.416616293,-3.786320239,-1.734859781,-4.422348038,-5.462807919,-0.769246655,-4.398601566,-1.928683008
2050-01-03 08:00:00,-1.462729371,-1.333611369,-1.085707335,-2.717580895,-0.489411644,-4.447903855,-2.037991777,-5.195064771,-6.417324175,-0.903657098,-5.167169079,-2.26568173
2050-01-03 09:00:00,-1.502135603,-1.369539136,-1.114956516,-2.790793087,-0.502596495,-4.567731305,-2.092895697,-5.335020891,-6.590208216,-0.928001807,-5.306373683,-2.326719664
2050-01-03 10:00:00,-1.489099728,-1.357653963,-1.105280669,-2.766573949,-0.498234848,-4.528091493,-2.074733071,-5.288722365,-6.533016889,-0.919948397,-5.260323765,-2.306527861
2050-01-03 11:00:00,-1.470552469,-1.340743906,-1.09151401,-2.732115299,-0.492029158,-4.471692524,-2.048891543,-5.222849472,-6.45164587,-0.908490116,-5.194804585,-2.277799247
2050-01-03 12:00:00,-1.491347475,-1.359703297,-1.106949054,-2.770750001,-0.498986917,-4.534926498,-2.077864812,-5.296705517,-6.542878262,-0.921337028,-5.268264049,-2.310009489
2050-01-03 13:00:00,-1.546684674,-1.410155772,-1.148022956,-2.873560074,-0.517502078,-4.703197228,-2.154965032,-5.493242441,-6.785655052,-0.955523702,-5.463745638,-2.395723554
2050-01-03 14:00:00,-1.533226257,-1.397885357,-1.138033479,-2.848555903,-0.512999054,-4.66227254,-2.136213688,-5.445443206,-6.726609939,-0.94720925,-5.416203068,-2.374877259
2050-01-03 15:00:00,-1.546791294,-1.410252981,-1.148102094,-2.873758163,-0.517537752,-4.703521442,-2.155113584,-5.493621116,-6.78612282,-0.955589571,-5.46412228,-2.395888702
2050-01-03 16:00:00,-1.517438336,-1.383491066,-1.126314932,-2.819223783,-0.507716605,-4.614264235,-2.11421669,-5.389370443,-6.65734476,-0.937455657,-5.360431397,-2.350422697
2050-01-03 17:00:00,-1.547840918,-1.411209952,-1.148881175,-2.875708242,-0.517888944,-4.706713164,-2.156576004,-5.497348986,-6.790727757,-0.956238017,-5.467830133,-2.397514508
2050-01-03 18:00:00,-1.587214901,-1.447108317,-1.178106419,-2.948860519,-0.531063004,-4.826442551,-2.211434993,-5.63719057,-6.963470316,-0.980562803,-5.606920816,-2.458502491
2050-01-03 19:00:00,-1.518447093,-1.384410778,-1.12706368,-2.821097937,-0.508054124,-4.617331691,-2.115622172,-5.392953172,-6.661770408,-0.938078855,-5.363994888,-2.351985203
2050-01-03 20:00:00,-1.445510796,-1.317912711,-1.072926889,-2.685590787,-0.483650516,-4.395545183,-2.014001477,-5.133910865,-6.341782394,-0.893019664,-5.106343548,-2.239011169
2050-01-03 21:00:00,-1.332420619,-1.214805227,-0.988985979,-2.475482402,-0.445811904,-4.051657759,-1.85643518,-4.732257075,-5.845630241,-0.823153875,-4.7068465,-2.063841139
2050-01-03 22:00:00,-1.23746989,-1.128235986,-0.918509031,-2.299075002,-0.414042533,-3.762929222,-1.724142216,-4.395027787,-5.429059946,-0.764494425,-4.371428015,-1.916768048
2050-01-03 23:00:00,-1.321385631,-1.204744319,-0.980795286,-2.45498068,-0.44211973,-4.018102294,-1.841060351,-4.693064948,-5.797217258,-0.816336589,-4.667864821,-2.046748593
2050-01-04 00:00:00,-1.251907739,-1.141399377,-0.929225489,-2.325898844,-0.418873263,-3.806832191,-1.744258184,-4.446305597,-5.492402049,-0.773413959,-4.422430481,-1.939131426
2050-01-04 01:00:00,-1.208760729,-1.10206104,-0.897199726,-2.245736723,-0.404436793,-3.675629692,-1.684142313,-4.293063642,-5.303106372,-0.746758242,-4.270011382,-1.872299247
2050-01-04 02:00:00,-1.182573415,-1.078185331,-0.877762255,-2.197083741,-0.395674833,-3.595998655,-1.647656048,-4.200056147,-5.188216708,-0.730580025,-4.177503305,-1.831736638
2050-01-04 03:00:00,-1.180719421,-1.076494993,-0.876386132,-2.193639237,-0.395054509,-3.590360984,-1.645072915,-4.193471458,-5.180082818,-0.729434649,-4.170953974,-1.82886491
2050-01-04 04:00:00,-1.194595261,-1.089145985,-0.886685441,-2.219418932,-0.399697198,-3.632554983,-1.664405847,-4.242753224,-5.240959263,-0.738006981,-4.219971114,-1.85035777
2050-01-04 05:00:00,-1.131284621,-1.031423899,-0.839693271,-2.101795132,-0.378514219,-3.440038413,-1.576196389,-4.017897633,-4.963201182,-0.698894408,-3.996322919,-1.752293313
2050-01-04 06:00:00,-1.228072296,-1.119667936,-0.911533689,-2.281615366,-0.410898211,-3.734352783,-1.711048735,-4.361651065,-5.387830577,-0.758688701,-4.338230515,-1.902211727
2050-01-04 07:00:00,-1.269260379,-1.157220266,-0.942105445,-2.35813803,-0.424679248,-3.859598533,-1.768435273,-4.507935653,-5.568532004,-0.784134218,-4.483729605,-1.966009645
2050-01-04 08:00:00,-1.51883733,-1.384766568,-1.127353332,-2.82182295,-0.508184692,-4.618518331,-2.11616588,-5.394339144,-6.663482462,-0.938319939,-5.365373418,-2.352589656
2050-01-04 09:00:00,-1.541368234,-1.405308625,-1.144076841,-2.863682749,-0.515723261,-4.687030866,-2.147557742,-5.474360446,-6.762330631,-0.952239268,-5.444965034,-2.387488702
2050-01-04 10:00:00,-1.531912081,-1.396687185,-1.137058034,-2.846114316,-0.512559346,-4.658276359,-2.134382672,-5.440775744,-6.720844349,-0.946397367,-5.41156067,-2.372841676
2050-01-04 11:00:00,-1.490740058,-1.359149498,-1.1064982,-2.769621491,-0.498783683,-4.533079449,-2.07701851,-5.2945482,-6.540213386,-0.920961773,-5.266118316,-2.309068636
2050-01-04 12:00:00,-1.518532792,-1.384488912,-1.127127289,-2.821257155,-0.508082797,-4.617592285,-2.115741574,-5.393257541,-6.662146387,-0.938131799,-5.364297622,-2.352117945
